type,title,use,image,imageback,color,allowed,allowedbattle,interactive,description
Skill,I Don't Give a Damn,Turn,SKB_i_dont_give_a_damn,SKB_back,A_MEEPLE_BLUE,Move-Influence-Battle,Block-Attack,no,"Once a turn: One card played sideways gives you +2 instead of +1. If it's an advanced action, spell or artifact, it gives +3 instead."
Skill,Who Needs Magic,Turn,SKB_who_needs_magic,SKB_back,A_MEEPLE_BLUE,Move-Influence-Battle,Block-Attack,no,"Once a turn: One card played sideways gives you +2 instead of +1. If you use no die from the source this turn, it gives +3 instead."
Skill,Motivation,Round,SKB_motivation,SKB_back,A_MEEPLE_BLUE,Move-Influence-Battle-AfterBattle,RangeSiege-Block-AssignDamage-Attack-EndOfBattle,no,"Once a round, on any players turn: Flip this to draw 2 cards. If you have the least fame (not tied), also gain one white mana "
Skill,Mana Exploit,Round,SKB_mana_exploit,SKB_back,A_MEEPLE_BLUE,Move-Influence-Battle-AfterBattle,RangeSiege-Block-AssignDamage-Attack-EndOfBattle,yes,"Once a Round: Choose a color other than gold and gain a mana token of that color. Put this Skill token in the center and mark it with a second token of that color. Until the start of your next turn, other players get wound when they use mana of any other color on their turn, limit 1 Wound per color for each player. (if they use gold, count it as the color it is used for.) Then take this token back and flip it."
Skill,Dark Paths,Turn,SKR_dark_paths,SKR_back,A_MEEPLE_RED,Move,,no,"Once a turn: Move 1 (during the Day), or Move 2 (at Night)."
Skill,Burning Power,Turn,SKR_burning_power,SKR_back,A_MEEPLE_RED,Battle,RangeSiege-Attack,no,"Once a turn: Siege Attack 1, or Fire Siege Attack 1."
Skill,Hot Swordsmanship,Turn,SKR_hot_swordsmanship,SKR_back,A_MEEPLE_RED,Battle,Attack,no,"Once a turn: Attack 2, or Fire Attack 2."
Skill,Dark Negotiation,Turn,SKR_dark_negotiation,SKR_back,A_MEEPLE_RED,Influence,,no,"Once a turn: Influence 2 (during the Day), or Influence 3 (at Night)."
Skill,Dark Fire Magic,Round,SKR_dark_fire_magic,SKR_back,A_MEEPLE_RED,Move-Influence-Battle-AfterBattle,RangeSiege-Block-AssignDamage-Attack-EndOfBattle,no,"Once a Round: Flip this to gain one red crystal to your inventory, and one red or one black mana token."
Skill,Power of Pain,Turn,SKR_power_of_pain,SKR_back,A_MEEPLE_RED,Move-Influence-Battle,Block-Attack,no,"Once a turn: You can play one Wound sideways, as if it were a non-Wound card. It gives +2 instead of +1. At the end of your turn, put that Wound in your discard pile."
Skill,Invocation,Turn,SKR_invocation,SKR_back,A_MEEPLE_RED,Move-Influence-Battle-AfterBattle,RangeSiege-Block-AssignDamage-Attack-EndOfBattle,no,"Once a turn: Discard a Wound card to gain a red or black mana token, or discard a non-wound card to gain a white or green mana token. You must spend a mana token gained this way immediately, or you cannot use the ability."
Skill,Polarization,Turn,SKR_polarization,SKR_back,A_MEEPLE_RED,Move-Influence-Battle-AfterBattle,RangeSiege-Block-AssignDamage-Attack-EndOfBattle,no,"Once a turn: You can use one mana as a mana of the opposite color (see token diagram). During the Day, you could use a black mana as any color other than black (not to power the stronger effect of spells). At Night, you could use a gold mana as black to power the stronger effect of a Spell, but not as any other color."
Skill,Motivation,Round,SKR_motivation,SKR_back,A_MEEPLE_RED,Move-Influence-Battle-AfterBattle,RangeSiege-Block-AssignDamage-Attack-EndOfBattle,no,"Once a round, on any players turn: Flip this to draw 2 cards. If you have the least fame (not tied), also gain one red mana "
Skill,Healing Ritual,Round,SKR_healing_ritual,SKR_back,A_MEEPLE_RED,Move-Influence-AfterBattle,,yes,"Once a Round, except in combat: Flip this to throw away up to two Wounds from your hand. One of them goes to the hand of the closest hero (if tied, you choose) instead of to the Wound pile"
